Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Area,Area_Pct,Peak_Height
2101,C68H122O13S,19.876,1178.859,,FBF,77.91,FBF,,,
2102,C68H120O13S,20.032,1176.8405,,FBF,53.22,FBF,,,
2103,C68H116O12S,20.006,1156.813,,FBF,56.75,FBF,,,
2104,C69H120O12S,18.836,1172.8485,,FBF,74.55,FBF,,,
2105,C69H120O13S,22.655,1188.8456,,FBF,54.2,FBF,,,
2106,C70H138O12S,20.525,1202.9938,,FBF,54.94,FBF,,,
2107,C70H118O13S,19.98,1198.8275,,FBF,63.55,FBF,,,
2108,C70H114O12S,18.836,1178.8011,,FBF,62.47,FBF,,,
2109,C70H124O12S,18.654,1188.8783,,FBF,53.05,FBF,,,
2110,C70H120O13S,20.058,1200.8431,,FBF,75.0,FBF,,,
2111,C71H140O12S,22.083,1217.0103,,FBF,59.41,FBF,,,
2112,C71H120O12S,17.849,1196.8554,,FBF,50.2,FBF,,,
2113,C71H118O12S,18.836,1194.8311,,FBF,65.96,FBF,,,
2114,C71H116O13S,18.187,1208.8239,,FBF,52.22,FBF,,,
2115,C71H136O13S,19.616,1228.9625,,FBF,53.07,FBF,,,
2116,C71H134O12S,18.732,1210.9598,,FBF,63.52,FBF,,,
2117,C71H124O12S,17.277,1200.8753,,FBF,55.88,FBF,,,
2118,C72H140O12S,17.745,1229.0016,,FBF,61.97,FBF,,,
2119,C72H138O12S,17.745,1226.9879,,FBF,53.95,FBF,,,
2120,C72H138O13S,18.888,1242.9856,,FBF,50.16,FBF,,,
2121,C72H128O13S,18.161,1232.9142,,FBF,50.93,FBF,,,
2122,C72H124O13S,18.472,1228.8721,,FBF,51.45,FBF,,,
2123,C73H144O12S,11.897,1245.0437,,FBF,50.47,FBF,,,
2124,C73H122O13S,18.472,1238.8497,,FBF,51.84,FBF,,,
2125,C73H140O12S,20.447,1241.002,,FBF,66.68,FBF,,,
2126,C73H140O13S,18.602,1256.9943,,FBF,55.84,FBF,,,
2127,C73H138O12S,19.876,1238.9936,,FBF,51.07,FBF,,,
2128,C73H136O13S,17.771,1252.9673,,FBF,54.2,FBF,,,
2129,C73H134O13S,17.771,1250.9502,,FBF,52.64,FBF,,,
2130,C73H130O13S,19.512,1246.9261,,FBF,52.28,FBF,,,
2131,C74H126O12S,14.886,1238.8969,,FBF,50.12,FBF,,,
2132,C74H142O12S,19.2,1255.0257,,FBF,53.0,FBF,,,
2133,C74H138O12S,19.668,1250.9884,,FBF,57.9,FBF,,,
2134,C74H136O13S,19.122,1264.9702,,FBF,59.45,FBF,,,
2135,C75H146O12S,19.798,1271.0409,,FBF,56.63,FBF,,,
2136,C75H136O12S,17.771,1260.979,,FBF,54.82,FBF,,,
2137,C77H150O12S,20.136,1299.0767,,FBF,52.05,FBF,,,
2138,C77H130O12S,18.784,1278.9358,,FBF,50.16,FBF,,,
2139,C77H128O13S,11.065,1292.9089,,FBF,58.88,FBF,,,
2140,C77H148O13S,19.798,1313.0624,,FBF,51.37,FBF,,,
2141,C77H144O12S,20.447,1293.038,,FBF,51.21,FBF,,,
2142,C77H142O12S,17.745,1291.0184,,FBF,51.3,FBF,,,
2143,C77H136O13S,18.161,1300.9689,,FBF,50.29,FBF,,,
2144,C34H50O12S,3.917,682.2989,,FBF,64.95,FBF,,,
2145,C35H52O13S,1.448,712.3163,,FBF,74.29,FBF,,,
2146,C38H56O13S,13.743,752.3402,,FBF,51.85,FBF,,,
2147,C39H58O12S,14.912,750.3614,,FBF,51.76,FBF,,,
2148,C43H64O12S,4.671,804.4116,,FBF,92.26,FBF,21727273.0,15.77,4512959.0
2149,C44H64O13S,4.75,832.4122,,FBF,66.78,FBF,34765323.0,25.23,4024607.0
2150,C52H76O13S,22.499,940.4934,,FBF,60.31,FBF,,,
2151,C59H90O12S,13.691,1022.6072,,FBF,50.46,FBF,,,
2152,C66H104O12S,17.537,1120.7251,,FBF,73.33,FBF,,,
2153,C72H116O12S,18.81,1204.8222,,FBF,69.55,FBF,,,
2154,C75H122O12S,21.2,1246.8626,,FBF,65.88,FBF,,,
2155,C25H46O14,5.737,570.2943,,FBF,67.28,FBF,,,
2156,C26H46O14,4.047,582.2884,,FBF,65.48,FBF,,,
2157,C26H44O14,4.515,580.2766,,FBF,76.99,FBF,,,
2158,C26H42O14,3.943,578.2618,,FBF,63.41,FBF,,,
2159,C27H50O14,4.099,598.3152,,FBF,71.04,FBF,83277318.0,60.43,8857146.0
2160,C27H48O14,4.489,596.3051,,FBF,79.0,FBF,,,
2161,C28H52O14,4.125,612.3334,,FBF,90.05,FBF,,,
2162,C29H52O14,21.876,624.3382,,FBF,60.02,FBF,,,
2163,C29H48O14,12.807,620.3039,,FBF,71.93,FBF,,,
2164,C30H56O14,5.633,640.3686,,FBF,56.97,FBF,,,
2165,C31H56O14,5.322,652.3655,,FBF,70.22,FBF,,,
2166,C31H54O14,4.281,650.3516,,FBF,86.85,FBF,65500642.0,47.53,8732868.0
2167,C32H60O14,20.006,668.4049,,FBF,58.76,FBF,,,
2168,C32H56O14,4.724,664.3634,,FBF,71.36,FBF,,,
2169,C33H62O14,4.411,682.4118,,FBF,55.45,FBF,,,
2170,C33H54O14,12.625,674.3534,,FBF,52.81,FBF,,,
2171,C33H52O14,4.281,672.3336,,FBF,79.66,FBF,65500642.0,47.53,8732868.0
2172,C34H64O14,4.437,696.4329,,FBF,68.91,FBF,34988729.0,25.39,6894655.0
2173,C34H60O14,4.932,692.3962,,FBF,53.84,FBF,,,
2174,C34H56O14,17.511,688.371,,FBF,55.46,FBF,,,
2175,C19H34O9,7.244,406.2194,,FBF,69.82,FBF,1655591.0,1.2,404359.0
2176,C19H32O9,7.244,404.2025,,FBF,82.03,FBF,1655591.0,1.2,404359.0
2177,C20H36O9,5.374,420.2374,,FBF,71.11,FBF,,,
2178,C20H34O9,7.192,418.2195,,FBF,54.53,FBF,,,
2179,C20H32O9,4.776,416.2065,,FBF,63.73,FBF,,,
2180,C21H40O9,5.14,436.2662,,FBF,82.88,FBF,,,
2181,C21H36O9,7.92,432.2343,,FBF,87.3,FBF,,,
2182,C21H34O9,3.293,430.2201,,FBF,81.29,FBF,,,
2183,C22H40O9,3.085,448.2703,,FBF,70.55,FBF,,,
2184,C22H36O9,4.906,444.2358,,FBF,91.57,FBF,,,
2185,C23H42O9,3.527,462.2852,,FBF,74.4,FBF,,,
2186,C23H40O9,7.92,460.2653,,FBF,65.96,FBF,,,
2187,C24H44O9,3.839,476.3016,,FBF,71.35,FBF,,,
2188,C25H42O9,4.489,486.2816,,FBF,72.36,FBF,,,
2189,C26H50O9,5.841,506.3477,,FBF,53.77,FBF,,,
2190,C26H48O9,4.515,504.3295,,FBF,85.06,FBF,,,
2191,C27H52O9,20.317,520.3636,,FBF,76.08,FBF,,,
2192,C28H52O9,5.166,532.3649,,FBF,63.03,FBF,,,
2193,C35H48O9,4.359,612.3321,,FBF,81.17,FBF,,,
2194,C19H36O11S,11.325,472.1973,,FBF,90.42,FBF,,,
2195,C19H32O11S,3.293,468.1653,,FBF,54.26,FBF,,,
2196,C23H42O11S,3.735,526.2446,,FBF,60.48,FBF,,,
2197,C25H48O11S,9.87,556.2913,,FBF,51.99,FBF,,,
2198,C26H46O11S,3.631,566.2785,,FBF,53.14,FBF,,,
2199,C27H50O11S,18.836,582.307,,FBF,50.01,FBF,,,
2200,C29H52O11S,4.125,608.3269,,FBF,67.23,FBF,,,
2201,C30H54O11S,4.047,622.3415,,FBF,68.21,FBF,,,
2202,C30H52O11S,4.593,620.3281,,FBF,72.07,FBF,,,
2203,C31H60O11S,4.802,640.3883,,FBF,61.38,FBF,,,
2204,C31H50O11S,4.125,630.3088,,FBF,79.79,FBF,,,
2205,C32H62O11S,6.049,654.403,,FBF,57.05,FBF,,,
2206,C32H60O11S,5.789,652.3868,,FBF,76.46,FBF,,,
2207,C32H58O11S,4.281,650.371,,FBF,57.4,FBF,65500642.0,47.53,8732868.0
2208,C32H56O11S,4.359,648.3575,,FBF,57.31,FBF,,,
2209,C32H54O11S,8.154,646.3373,,FBF,50.03,FBF,,,
2210,C32H50O11S,4.593,642.3113,,FBF,53.42,FBF,,,
2211,C33H60O11S,4.359,664.3842,,FBF,82.53,FBF,,,
2212,C33H58O11S,4.802,662.3719,,FBF,92.44,FBF,,,
2213,C33H54O11S,4.099,658.3368,,FBF,60.95,FBF,83277318.0,60.43,8857146.0
2214,C34H62O11S,4.776,678.4022,,FBF,93.1,FBF,,,
2215,C34H60O11S,4.802,676.3848,,FBF,59.65,FBF,,,
2216,C34H56O11S,4.047,672.3534,,FBF,56.84,FBF,,,
2217,C34H54O11S,4.359,670.3374,,FBF,56.34,FBF,,,
2218,C35H64O11S,4.802,692.4152,,FBF,59.59,FBF,,,
2219,C35H62O11S,13.951,690.4014,,FBF,54.27,FBF,,,
2220,C35H58O11S,4.437,686.3659,,FBF,53.68,FBF,34988729.0,25.39,6894655.0
2221,C35H56O11S,4.776,684.3542,,FBF,64.16,FBF,,,
2222,C36H66O11S,5.114,706.4287,,FBF,75.6,FBF,,,
2223,C36H62O11S,20.084,702.4044,,FBF,57.61,FBF,,,
2224,C36H60O11S,4.437,700.3859,,FBF,89.19,FBF,34988729.0,25.39,6894655.0
2225,C36H56O11S,10.285,696.3542,,FBF,60.67,FBF,,,
2226,C37H70O11S,5.763,722.4663,,FBF,74.67,FBF,,,
2227,C39H74O11S,0.383,750.4998,,FBF,72.14,FBF,3497639.0,2.54,966956.0
2228,C39H70O11S,5.01,746.4631,,FBF,61.33,FBF,,,
2229,C39H68O11S,5.737,744.4476,,FBF,78.1,FBF,,,
2230,C39H62O11S,4.541,738.4037,,FBF,85.57,FBF,27697614.0,20.1,4488337.0
2231,C40H78O11S,10.026,766.5252,,FBF,71.3,FBF,,,
2232,C40H64O11S,4.932,752.4149,,FBF,55.91,FBF,,,
2233,C41H78O11S,17.096,778.5241,,FBF,59.66,FBF,,,
2234,C41H68O11S,14.86,768.4429,,FBF,59.35,FBF,,,
2235,C42H82O11S,14.912,794.5532,,FBF,55.12,FBF,,,
2236,C42H80O11S,14.731,792.5457,,FBF,51.08,FBF,,,
2237,C42H76O11S,13.587,788.5109,,FBF,61.15,FBF,,,
2238,C42H74O11S,16.758,786.4987,,FBF,59.04,FBF,,,
2239,C43H82O11S,16.342,806.5616,,FBF,51.45,FBF,,,
2240,C43H70O11S,4.75,794.4637,,FBF,61.66,FBF,34765323.0,25.23,4024607.0
2241,C14H28O4,7.426,260.1978,,FBF,60.02,FBF,,,
2242,C20H40O4,11.741,344.291,,FBF,73.0,FBF,,,
2243,C7H14O4,1.604,162.0884,,FBF,69.89,FBF,,,
2244,C10H20O4,5.841,204.1365,,FBF,81.56,FBF,,,
2245,C11H22O4,6.465,218.1523,,FBF,76.5,FBF,,,
2246,C17H36O3,12.131,288.2663,,FBF,66.09,FBF,,,
2247,C21H44O3,21.772,344.3321,,FBF,54.48,FBF,,,
2248,C30H57NO10,5.322,591.3946,,FBF,52.33,FBF,,,
2249,C30H55NO9,5.893,573.3844,,FBF,71.57,FBF,,,
2250,C30H53NO8,3.969,555.3759,,FBF,74.59,FBF,,,
2251,C30H49NO8,14.86,551.3442,,FBF,77.73,FBF,,,
2252,C30H47NO8,3.943,549.3345,,FBF,58.19,FBF,,,
2253,C31H59NO9,10.207,589.4181,,FBF,97.41,FBF,,,
2254,C31H57NO9,4.125,587.4019,,FBF,71.42,FBF,,,
2255,C31H57NO10,18.732,603.3965,,FBF,62.61,FBF,,,
2256,C31H55NO8,4.828,569.3977,,FBF,63.75,FBF,,,
2257,C31H55NO10,5.296,601.3832,,FBF,56.86,FBF,,,
2258,C31H51NO8,3.943,565.3576,,FBF,53.8,FBF,,,
2259,C31H51NO9,0.409,581.3519,,FBF,63.23,FBF,,,
2260,C31H49NO8,4.489,563.3513,,FBF,61.13,FBF,,,
2261,C31H49NO9,3.839,579.3452,,FBF,63.08,FBF,,,
2262,C31H49NO10,3.839,595.3399,,FBF,62.96,FBF,,,
2263,C32H59NO10,5.737,617.4145,,FBF,70.73,FBF,,,
2264,C32H57NO8,4.75,583.4072,,FBF,73.16,FBF,34765323.0,25.23,4024607.0
2265,C32H57NO9,4.593,599.4011,,FBF,67.7,FBF,,,
2266,C32H53NO9,5.685,595.3715,,FBF,64.34,FBF,,,
2267,C32H53NO10,6.205,611.3655,,FBF,52.34,FBF,,,
2268,C32H51NO8,5.218,577.3631,,FBF,52.96,FBF,,,
2269,C32H51NO9,4.125,593.3608,,FBF,57.54,FBF,,,
2270,C32H51NO10,5.711,609.3486,,FBF,66.91,FBF,,,
2271,C33H63NO8,14.029,601.4535,,FBF,51.08,FBF,,,
2272,C33H63NO10,10.155,633.4436,,FBF,88.89,FBF,,,
2273,C33H61NO10,4.281,631.4284,,FBF,72.11,FBF,65500642.0,47.53,8732868.0
2274,C33H59NO10,6.361,629.4182,,FBF,54.31,FBF,,,
2275,C33H57NO10,4.828,627.4028,,FBF,51.14,FBF,,,
2276,C33H55NO9,4.125,609.3839,,FBF,54.68,FBF,,,
2277,C33H55NO10,5.711,625.3855,,FBF,52.39,FBF,,,
2278,C33H53NO8,4.802,591.3795,,FBF,80.99,FBF,,,
2279,C33H53NO9,4.359,607.3772,,FBF,62.75,FBF,,,
2280,C33H53NO10,4.021,623.3718,,FBF,59.69,FBF,,,
2281,C33H51NO9,4.697,605.3601,,FBF,54.51,FBF,,,
2282,C34H65NO8,15.822,615.4691,,FBF,51.79,FBF,,,
2283,C34H65NO9,17.901,631.4713,,FBF,61.23,FBF,,,
2284,C34H61NO9,4.854,627.4352,,FBF,69.71,FBF,,,
2285,C34H59NO8,6.569,609.4292,,FBF,54.91,FBF,,,
2286,C34H57NO10,5.737,639.3965,,FBF,64.34,FBF,,,
2287,C34H55NO9,5.296,621.3886,,FBF,55.97,FBF,,,
2288,C34H55NO10,4.281,637.3872,,FBF,65.44,FBF,65500642.0,47.53,8732868.0
2289,C35H67NO8,18.524,629.4839,,FBF,51.08,FBF,,,
2290,C35H65NO8,22.343,627.4687,,FBF,61.82,FBF,,,
2291,C35H63NO10,5.036,657.4498,,FBF,50.53,FBF,,,
2292,C35H61NO9,16.862,639.4392,,FBF,51.45,FBF,,,
2293,C35H59NO10,4.281,653.4103,,FBF,57.48,FBF,65500642.0,47.53,8732868.0
2294,C35H57NO8,5.607,619.4076,,FBF,51.77,FBF,,,
2295,C35H57NO9,4.932,635.4066,,FBF,80.71,FBF,,,
2296,C35H57NO10,4.776,651.403,,FBF,69.39,FBF,,,
2297,C35H55NO9,16.134,633.388,,FBF,54.08,FBF,,,
2298,C35H55NO10,4.828,649.3843,,FBF,78.44,FBF,,,
2299,C35H53NO8,4.593,615.3813,,FBF,51.67,FBF,,,
2300,C36H69NO9,19.07,659.4993,,FBF,71.15,FBF,,,
2301,C36H69NO10,17.979,675.4912,,FBF,57.32,FBF,,,
2302,C36H67NO10,21.382,673.4825,,FBF,51.67,FBF,,,
2303,C36H63NO9,6.621,653.455,,FBF,55.21,FBF,,,
2304,C36H61NO9,16.628,651.4323,,FBF,67.46,FBF,,,
2305,C36H59NO9,4.854,649.4171,,FBF,64.64,FBF,,,
2306,C36H59NO10,4.724,665.4139,,FBF,67.81,FBF,,,
2307,C36H57NO8,6.569,631.413,,FBF,74.41,FBF,,,
2308,C36H55NO10,5.659,661.3812,,FBF,89.95,FBF,,,
2309,C37H71NO8,17.329,657.517,,FBF,62.76,FBF,,,
2310,C37H67NO8,17.875,653.4822,,FBF,64.73,FBF,,,
2311,C37H59NO8,19.07,645.4209,,FBF,86.16,FBF,,,
2312,C37H57NO8,4.776,643.4064,,FBF,62.08,FBF,,,
2313,C37H57NO9,4.724,659.4067,,FBF,68.95,FBF,,,
2314,C38H73NO9,19.98,687.5293,,FBF,69.22,FBF,,,
2315,C38H69NO9,14.912,683.503,,FBF,55.79,FBF,,,
2316,C38H69NO10,10.103,699.49,,FBF,56.61,FBF,,,
2317,C38H67NO8,13.041,665.4865,,FBF,50.43,FBF,,,
2318,C38H67NO9,17.797,681.4813,,FBF,61.52,FBF,,,
2319,C38H67NO10,6.647,697.4793,,FBF,68.32,FBF,,,
2320,C38H61NO8,6.283,659.437,,FBF,54.42,FBF,,,
2321,C38H59NO8,4.437,657.425,,FBF,71.78,FBF,34988729.0,25.39,6894655.0
2322,C38H57NO10,12.651,687.3973,,FBF,61.56,FBF,,,
2323,C39H75NO10,17.018,717.5327,,FBF,56.42,FBF,,,
2324,C39H73NO9,19.98,699.5267,,FBF,86.37,FBF,,,
2325,C39H65NO10,13.587,707.4626,,FBF,80.06,FBF,,,
2326,C39H61NO8,5.841,671.4417,,FBF,62.14,FBF,,,
2327,C39H61NO9,4.88,687.4325,,FBF,77.95,FBF,,,
2328,C39H61NO10,4.828,703.4281,,FBF,75.42,FBF,,,
2329,C39H59NO10,17.693,701.4142,,FBF,59.08,FBF,,,
2330,C40H77NO8,15.796,699.5672,,FBF,72.2,FBF,,,
2331,C40H77NO9,19.954,715.5584,,FBF,63.48,FBF,,,
2332,C40H71NO9,17.693,709.5121,,FBF,71.57,FBF,,,
2333,C40H69NO9,17.693,707.5043,,FBF,61.33,FBF,,,
2334,C40H67NO9,19.07,705.4837,,FBF,57.6,FBF,,,
2335,C40H65NO10,6.647,719.4609,,FBF,75.42,FBF,,,
2336,C40H63NO9,4.541,701.4508,,FBF,74.25,FBF,27697614.0,20.1,4488337.0
2337,C40H63NO10,17.147,717.4454,,FBF,51.15,FBF,,,
2338,C41H75NO8,10.181,709.5553,,FBF,59.72,FBF,,,
2339,C41H71NO9,19.98,721.5101,,FBF,66.67,FBF,,,
2340,C41H67NO9,4.541,717.4744,,FBF,54.75,FBF,27697614.0,20.1,4488337.0
2341,C41H65NO9,5.01,715.4635,,FBF,56.36,FBF,,,
2342,C41H65NO10,4.619,731.4618,,FBF,72.9,FBF,,,
2343,C41H63NO10,13.587,729.4468,,FBF,89.65,FBF,,,
2344,C42H81NO9,19.954,743.5919,,FBF,60.12,FBF,,,
2345,C42H81NO10,19.096,759.5877,,FBF,54.49,FBF,,,
2346,C42H79NO9,19.98,741.5812,,FBF,62.17,FBF,,,
2347,C42H77NO8,10.935,723.5693,,FBF,68.41,FBF,,,
2348,C42H75NO8,18.187,721.5513,,FBF,67.77,FBF,,,
2349,C42H75NO9,19.98,737.5405,,FBF,50.62,FBF,,,
2350,C42H73NO9,19.954,735.5354,,FBF,58.44,FBF,,,
2351,C42H67NO10,4.671,745.4757,,FBF,69.99,FBF,21727273.0,15.77,4512959.0
2352,C43H77NO9,14.783,751.558,,FBF,58.96,FBF,,,
2353,C43H75NO8,18.992,733.5497,,FBF,50.39,FBF,,,
2354,C43H75NO9,11.611,749.5476,,FBF,68.81,FBF,,,
2355,C43H73NO8,10.181,731.537,,FBF,75.06,FBF,,,
2356,C43H71NO8,13.379,729.5159,,FBF,51.2,FBF,,,
2357,C43H71NO10,4.671,761.501,,FBF,58.28,FBF,21727273.0,15.77,4512959.0
2358,C43H65NO8,5.529,723.4701,,FBF,75.16,FBF,,,
2359,C44H85NO9,17.667,771.6205,,FBF,51.46,FBF,,,
2360,C44H83NO9,14.86,769.6102,,FBF,59.25,FBF,,,
2361,C44H83NO10,12.911,785.5994,,FBF,57.37,FBF,,,
2362,C44H79NO9,19.954,765.5718,,FBF,53.58,FBF,,,
2363,C44H77NO9,19.98,763.5587,,FBF,79.41,FBF,,,
2364,C44H75NO8,10.935,745.5509,,FBF,83.11,FBF,,,
2365,C44H73NO8,10.051,743.5402,,FBF,64.27,FBF,,,
2366,C44H67NO9,22.525,753.4795,,FBF,50.13,FBF,,,
2367,C44H67NO10,20.006,769.4791,,FBF,55.66,FBF,,,
2368,C45H67NO8,5.919,749.49,,FBF,51.65,FBF,,,
2369,C45H67NO10,19.018,781.4808,,FBF,50.08,FBF,,,
2370,C45H85NO10,14.835,799.6189,,FBF,62.18,FBF,,,
2371,C45H83NO10,13.327,797.5999,,FBF,55.96,FBF,,,
2372,C45H79NO8,13.275,761.5849,,FBF,62.28,FBF,,,
2373,C45H79NO9,19.85,777.5782,,FBF,53.41,FBF,,,
2374,C45H77NO8,19.122,759.5675,,FBF,61.27,FBF,,,
2375,C45H77NO10,16.68,791.5526,,FBF,56.22,FBF,,,
2376,C45H75NO9,16.992,773.5439,,FBF,51.36,FBF,,,
2377,C45H73NO9,13.431,771.5253,,FBF,60.5,FBF,,,
2378,C45H69NO8,0.383,751.5032,,FBF,65.69,FBF,3497639.0,2.54,966956.0
2379,C45H69NO9,5.555,767.4989,,FBF,61.77,FBF,,,
2380,C46H69NO8,15.354,763.5074,,FBF,57.94,FBF,,,
2381,C46H87NO9,19.07,797.6371,,FBF,53.59,FBF,,,
2382,C46H87NO10,18.862,813.6313,,FBF,58.34,FBF,,,
2383,C46H79NO9,10.909,789.5797,,FBF,69.1,FBF,,,
2384,C46H79NO10,18.94,805.5715,,FBF,63.18,FBF,,,
2385,C46H77NO9,10.026,787.5662,,FBF,62.38,FBF,,,
2386,C46H73NO8,0.383,767.526,,FBF,55.71,FBF,3497639.0,2.54,966956.0
2387,C46H71NO8,10.051,765.5221,,FBF,78.46,FBF,,,
2388,C46H71NO9,19.018,781.5088,,FBF,56.96,FBF,,,
2389,C47H89NO9,19.46,811.6541,,FBF,58.24,FBF,,,
2390,C47H83NO8,14.912,789.6122,,FBF,63.25,FBF,,,
2391,C47H79NO10,15.224,817.5692,,FBF,50.2,FBF,,,
2392,C47H77NO8,13.301,783.5673,,FBF,50.67,FBF,,,
2393,C47H75NO10,20.032,813.542,,FBF,52.6,FBF,,,
2394,C48H93NO9,17.615,827.687,,FBF,52.34,FBF,,,
2395,C48H73NO9,4.75,807.5319,,FBF,59.72,FBF,34765323.0,25.23,4024607.0
2396,C48H89NO10,13.379,839.6468,,FBF,51.46,FBF,,,
2397,C48H85NO8,13.353,803.628,,FBF,52.9,FBF,,,
2398,C48H85NO10,17.225,835.6203,,FBF,55.51,FBF,,,
2399,C48H83NO9,22.603,817.611,,FBF,53.62,FBF,,,
2400,C48H81NO10,9.948,831.5895,,FBF,71.83,FBF,,,
2401,C48H77NO9,17.849,811.5554,,FBF,50.4,FBF,,,
2402,C48H77NO10,18.992,827.5535,,FBF,51.73,FBF,,,
2403,C48H75NO9,10.0,809.5485,,FBF,75.15,FBF,,,
2404,C49H95NO9,21.382,841.703,,FBF,64.45,FBF,,,
2405,C49H93NO9,18.992,839.6825,,FBF,54.37,FBF,,,
2406,C49H83NO10,12.885,845.601,,FBF,50.92,FBF,,,
2407,C50H97NO9,14.886,855.7146,,FBF,53.01,FBF,,,
2408,C50H77NO10,4.854,851.5574,,FBF,64.56,FBF,,,
2409,C50H87NO9,14.86,845.637,,FBF,57.72,FBF,,,
2410,C50H83NO8,14.86,825.6119,,FBF,56.79,FBF,,,
2411,C50H79NO10,9.974,853.5734,,FBF,84.95,FBF,,,
2412,C51H77NO8,13.431,831.5652,,FBF,71.08,FBF,,,
2413,C51H95NO8,18.966,849.7094,,FBF,50.62,FBF,,,
2414,C51H87NO9,20.006,857.6395,,FBF,55.09,FBF,,,
2415,C51H85NO10,21.668,871.6167,,FBF,51.34,FBF,,,
2416,C51H81NO8,21.045,835.5937,,FBF,56.74,FBF,,,
2417,C52H101NO8,20.265,867.75,,FBF,51.06,FBF,,,
2418,C52H99NO8,18.758,865.7373,,FBF,54.27,FBF,,,
2419,C52H91NO8,15.51,857.6706,,FBF,52.3,FBF,,,
2420,C52H87NO9,14.886,869.6384,,FBF,51.75,FBF,,,
2421,C53H83NO8,15.51,861.6084,,FBF,65.1,FBF,,,
2422,C53H81NO10,19.096,891.5785,,FBF,66.59,FBF,,,
2423,C53H79NO9,22.057,873.5739,,FBF,55.87,FBF,,,
2424,C53H99NO10,18.992,909.7263,,FBF,50.17,FBF,,,
2425,C53H93NO9,18.94,887.6851,,FBF,51.32,FBF,,,
2426,C53H91NO9,16.966,885.6756,,FBF,59.0,FBF,,,
2427,C53H89NO8,12.781,867.664,,FBF,52.52,FBF,,,
2428,C53H87NO10,14.938,897.6292,,FBF,51.12,FBF,,,
2429,C54H105NO9,13.847,911.7796,,FBF,54.42,FBF,,,
2430,C54H103NO8,12.833,893.7668,,FBF,57.27,FBF,,,
2431,C54H85NO10,17.771,907.6144,,FBF,50.49,FBF,,,
2432,C54H83NO9,20.499,889.601,,FBF,58.25,FBF,,,
2433,C54H97NO8,21.304,887.7235,,FBF,54.54,FBF,,,
2434,C54H97NO10,21.72,919.7142,,FBF,53.65,FBF,,,
2435,C54H95NO10,19.928,917.6952,,FBF,62.34,FBF,,,
2436,C54H89NO9,13.301,895.6524,,FBF,53.62,FBF,,,
2437,C54H89NO10,16.082,911.6472,,FBF,51.72,FBF,,,
2438,C54H87NO9,17.173,893.6341,,FBF,50.71,FBF,,,
2439,C55H85NO8,17.745,887.6266,,FBF,77.41,FBF,,,
2440,C55H83NO10,14.912,917.6015,,FBF,65.91,FBF,,,
2441,C55H105NO10,21.694,939.7711,,FBF,54.84,FBF,,,
2442,C56H83NO9,14.86,913.606,,FBF,50.62,FBF,,,
2443,C56H107NO9,13.977,937.7966,,FBF,52.33,FBF,,,
2444,C56H101NO9,14.783,931.7395,,FBF,52.41,FBF,,,
2445,C56H99NO10,20.421,945.7241,,FBF,51.37,FBF,,,
2446,C56H97NO8,18.784,911.7206,,FBF,58.05,FBF,,,
2447,C56H95NO9,16.914,925.7017,,FBF,56.11,FBF,,,
2448,C57H111NO10,19.746,969.8189,,FBF,53.74,FBF,,,
2449,C57H89NO8,14.886,915.6513,,FBF,60.43,FBF,,,
2450,C57H89NO10,15.016,947.6473,,FBF,56.91,FBF,,,
2451,C57H85NO8,19.928,911.6203,,FBF,58.24,FBF,,,
2452,C57H105NO9,16.654,947.7784,,FBF,76.59,FBF,,,
2453,C57H103NO9,13.847,945.7646,,FBF,50.75,FBF,,,
2454,C57H103NO10,18.836,961.758,,FBF,59.84,FBF,,,
2455,C57H101NO8,13.847,927.7527,,FBF,61.02,FBF,,,
2456,C57H101NO9,14.886,943.7478,,FBF,52.65,FBF,,,
2457,C57H99NO9,20.058,941.7308,,FBF,55.09,FBF,,,
2458,C57H93NO10,18.213,951.6796,,FBF,55.84,FBF,,,
2459,C58H91NO10,18.81,961.663,,FBF,68.82,FBF,,,
2460,C58H89NO9,14.912,943.6508,,FBF,50.6,FBF,,,
2461,C58H87NO8,15.068,925.6462,,FBF,50.87,FBF,,,
2462,C58H111NO10,14.185,981.8216,,FBF,52.32,FBF,,,
2463,C58H109NO9,14.731,963.808,,FBF,55.66,FBF,,,
2464,C58H107NO8,14.601,945.8023,,FBF,51.48,FBF,,,
2465,C58H107NO10,22.083,977.7841,,FBF,59.33,FBF,,,
2466,C58H105NO9,13.977,959.7789,,FBF,50.96,FBF,,,
2467,C58H97NO9,21.798,951.7255,,FBF,67.83,FBF,,,
2468,C58H95NO8,19.902,933.7063,,FBF,50.72,FBF,,,
2469,C59H95NO8,13.327,945.702,,FBF,68.22,FBF,,,
2470,C59H93NO10,17.719,975.6804,,FBF,56.33,FBF,,,
2471,C59H91NO9,22.655,957.6679,,FBF,50.15,FBF,,,
2472,C59H87NO8,13.405,937.6428,,FBF,85.18,FBF,,,
2473,C59H87NO10,13.613,969.6421,,FBF,58.14,FBF,,,
2474,C59H109NO8,14.159,959.8137,,FBF,59.02,FBF,,,
2475,C59H107NO8,21.019,957.8019,,FBF,55.63,FBF,,,
2476,C59H107NO9,19.33,973.7933,,FBF,58.48,FBF,,,
2477,C59H101NO8,12.313,951.755,,FBF,64.32,FBF,,,
2478,C59H99NO10,13.379,981.7324,,FBF,50.1,FBF,,,
